riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Jamie Anderson,  1,  833.33, , 30, USA, Regular, 5in.3, South Lake Tahoe, Sierra at Tahoe, , , , , , , 
Julia Marino,  2,  794.7, Burton Snowboards | Dragon | Mountain Dew | Stamina Pro | , 23, USA, Goofy, 5ft.5in., Westport, Breck, instagram:  _juliamarino, www.facebook.com/Jules-Marino-700692926636800/, , , , , 
Laurie Blouin,  3,  760.91,  | , 24, CAN, Goofy, 5|4 Feet, Stoneham, Stoneham, , https://www.facebook.com/laurie.blouin, , , , , 
Katie Ormerod,  4,  667.22, Red Bull | Roxy | Worm App | , 23, GBR, Goofy, 5ft.3, Brighouse, Castleford SNO!zone, , katieormeroduk, www.twitter.com/@OrmerodKatie, , , , 
Isabel Derungs,  5,  612.27, Adidas Eyewear | Ride Snowboards | , 33, SUI, Regular, 170, Zürich, , , https://www.facebook.com/Isabel-Derungs-623528247710003/, , , , , 
Jasmine Baird,  6,  591.58, , 21, CAN, , , , , , , , , , , 
Melissa Peperkamp,  7,  554.27, , , NED, , , , , , , , , , , 
Hanne Kjoll Eilertsen,  8,  538.92, , 21, NOR, Regular, , Voyenenga, , , , , , , , 
Sommer Gendron,  9,  522.78, Burton Snowboards | Swatch | , 19, CAN, , , , , , , , , , , 
Brooke Voigt,  10,  521.85, 32 Snowboard Boots | Dragon | , 26, CAN, Goofy, 5ft. 7in., Fort McMurray, Vista Ridge| Fort McMurray AB, Brookevoigt.com, , , , , , 
Evy Poppe,  11,  516.45, , 16, BEL, Regular, , , , , , , , , , 
Annika Morgan,  12,  511.78, Gnu | Roxy | , 18, GER, Goofy, , , Stubai, , , , , , , 
Hailey Langland,  13,  504.68, Burton Snowboards | Rockstar | US Snowboarding | , 20, USA, Regular, , , , , , , , , , 
Zoi Sadowski Synnott,  14,  501.78, , 19, NZL, , , , , , , , , , , 
Silje Norendal,  15,  501.56,  | , 27, NOR, Regular, 167cm, Oslo, kongsberg ski-center, , https://www.facebook.com/SiljeNorendal?fref=ts, www.twitter.com/siljenorendal, , , , 
Rina Yoshika,  16,  500, , 21, JPN, Goofy, , Ichinomiya-Shi, , , , , , , , 
Lucile Lefevre,  17,  499.59, Giro | Rip Curl | Rome | , 24, FRA, Regular, , Embrun, Risoul, https://www.facebook.com/lucilelefevre.snowboard/, https://www.facebook.com/lucilelefevre.snowboard/, , , , , 
Hinari Asanuma,  18,  499.25, , , JPN, , , , , , , , , , , 
Kokomo Murase,  19,  490.43, , 15, JPN, , , , , , , , , , , 
Ty Schnorrbusch,  20,  482.88, , , USA, , , , , , , , , , , 
Anna Gasser,  21,  482.23, Anon Optics | Burton Snowboards | Red Bull | , 28, AUT, Regular, 5ft.6, Millstatt, , , , , , , , 
Enni Rukajärvi,  22,  469.08, Giro | Vans | , 30, FIN, Regular, , Kuusamo, Ruka, , Enni Rukajärvi, www.twitter.com/ennirukajarvi, , , , 
Tina Steffensen,  23,  446.85, Giro | , 19, NOR, Goofy, , , , , , , , , , 
Chihiro Edamatsu,  24,  441.4, , , JPN, , , , , , , , , , , 
Loranne Smans,  25,  438.54, Anon Optics | Burton Snowboards | , 22, BEL, Goofy, , Mol, , , , , , , , 
Juliette Pelchat,  26,  429.5, , , CAN, , , , , , , , , , , 
Bianca Gisler,  27,  415.37, , 17, SUI, , , , , , , , , , , 
Addison Gardner,  28,  403.47, , , USA, , , , , , , , , , , 
Baily McDonald,  29,  402.5, Roxy | Smith | , 22, CAN, Regular, 5ft.2in., , , , , , , , , 
Eveliina Taka,  30,  400.97, , , FIN, , , , , , , , , , , 
Yuka Fujimori,  31,  399.57, Burton Snowboards | GALLIUM | , 34, JPN, Regular, , ???, , , , , , , , 
Kanami Okuyama,  32,  374.33, , , JPN, , , , , , , , , , , 
Isabella Gomez,  33,  372.95, , , USA, , , , , , , , , , , 
Hikari Yoshizawa,  34,  372.33, , 17, JPN, , , Fujisawa City Kanagawa Pref., , , , , , , , 
Courtney Rummel,  35,  347.07, , , USA, , , , , , , , , , , 
Thea Moa Larsen,  36,  338.15, , 19, NOR, , , , , , , , , , , 
Sarka Pancochova,  37,  338.06, Flow | Level | Red Bull | Volcom | Zeal Optics | , 29, CZE, Regular, 162, Uh.Brod, Morava picho, , , , , , , 
Lena Müller,  38,  333.67, , 17, SUI, , , , , , , , , , , 
Emma Lantos,  39,  333.33, , , AUT, , , , , , , , , , , 
Jackie Carlson,  40,  329.9, , , CAN, , , , , , , , , , , 
Ekaterina Kosova,  41,  327.47,  | , 24, RUS, Goofy, , Moscow, , , , , , , , 
Carola Niemela,  42,  324.79, BRP | Koneliike Korteniemi | Lappsetgroup | Salomon | , 21, FIN, , , , , , , , , , , 
Lia-Mara Bosch,  43,  323.23, Drake | Level | Northwave | Protest | Smith | , 26, SUI, Goofy, , Alikon, , www.liamaraboesch.com, https://www.facebook.com/Lia-Mara-Bösch-867730613257719/, , , , , 
Mona Danuser,  44,  322.08, , , SUI, , , , , , , , , , , 
Lucie Silvestre,  45,  320.52, , , FRA, , , , , , , , , , , 
Yui Kotani,  46,  315.12, , , JPN, , , , , , , , , , , 
Karoliina Vuorivirta,  47,  313.03, , , FIN, , , , , , , , , , , 
Miyabi Onitsuka,  48,  311.79, Anon Optics | Burton Snowboards | Red Bull | , 22, JPN, Regular, -, Kumamoto-City, Alts Bandai| JPN, , , , , , , 
Stine Espeli Olsen,  49,  308.08, , , NOR, , , , , , , , , , , 
Meila Stalker,  50,  303.45, , , AUS, , , , , , , , , , , 
Thalie Larochaix,  51,  303.4, Roxy | , 21, FRA, Regular, 1m58, , St Martin de Belleville, , , , , , , 
Amber Fennell,  52,  301.37, Never Summer | , 13, GBR, Regular, , , , , , , , , , 
Hollie Smith,  53,  300.21, , , GBR, , , , , , , , , , , 
Maggie Crompton,  54,  296.57, , , CAN, , , , , , , , , , , 
Cheryl Maas,  55,  294.32, Celtek | Nixon | Rockstar | Vans | , 36, NED, Goofy, 174 cm, Oslo, Oslo| Tryvan, cherylmaas, cheryl maas, www.twitter.com/cheryl maas, , , , 
Ge Rong,  56,  293.42, , , CHN, , , , , , , , , , , 
Sina Candrian,  57,  292.96, Giro | Head | Neff | , 31, SUI, Goofy, , Flims, Laax, WWW.SINACANDRIAN.CH, Sina Candrian, www.twitter.com/Sina Candrian, , , , 
Reira Iwabuchi,  58,  290.01, , 18, JPN, , , , , , , , , , , 
Jade Thurgood,  59,  288.61, , , USA, , , , , , , , , , , 
Nadja Flemming,  60,  284.61, Burton Snowboards | Nikita | Shred | , 24, GER, Regular, , Röhrmoos, , , , , , , , 
Kaitlyn Adams,  61,  280.94, Arbor Snowboards | Phunkshun Wear | ROCKWELL Time | , 15, USA, Regular, , Springfield, , , , , , , , 
Marie Kreisingerova,  62,  278.36, , , CZE, , , , , , , , , , , 
Kamilla Kozuback,  63,  275.9, , 16, CAN, , , , , , , , , , , 
Veera Immonen,  64,  272.32, , , FIN, , , , , , , , , , , 
Bettina Roll,  65,  269.05, , , NOR, , , , , , , , , , , 
Terra Traub,  66,  266.32, , , TPE, , , , , , , , , , , 
Andie Gendron,  67,  263.6, , 17, CAN, , , , , , , , , , , 
Cool Wakushima,  68,  259.18, , , NZL, , , , , , , , , , , 
Babet Bischof,  69,  258.06, , 20, SUI, Regular, , Chur, Davos| switzerland, , , , , , , 
Heli Bockhorni,  70,  257.6, , , GER, , , , , , , , , , , 
Marie Hahnl,  71,  256.28, , , GER, , , , , , , , , , , 
Laura Zaveska,  72,  255.57, Anon Optics | Burton Snowboards | , 13, CZE, Regular, , , , , , , , , , 
Danielle Weiler,  73,  254.01, , , USA, , , , , , , , , , , 
Vanessa Volopichova,  74,  252.03, , , CZE, , , , , , , , , , , 
Ella Sorensen,  75,  248.57, , , USA, , , , , , , , , , , 
Klaudia Medlova,  76,  248.2, , 26, SVK, Regular, , Liptovsky Mikulas, , , , , , , , 
Silvia Mittermüller,  77,  245.63, Breckenridge Resort | Planet Sports | Purl | Ride Snowboards | Vans | , 37, GER, Goofy, 167cm, München, Breckenridge| CO| USA, www.silviamittermuller.com, https://www.facebook.com/pages/Silvia-Mitterm%C3%BCller/184129604995477?ref=hl, www.twitter.com/SilviaMittermul, , , , 
Acacia Rose,  78,  243.94, , , NOR, , , , , , , , , , , 
Mia Brookes,  79,  238.29, Burton Snowboards | , 13, GBR, , , , , , , , , , , 
Livia Tanno,  80,  237.62, , 18, SUI, Regular, , , , , , , , , , 
Nikita Goryachev,  81,  237.53, , , RUS, , , , , , , , , , , 
Alyssa Moroco,  82,  234.57, , , USA, , , , , , , , , , , 
Tess Coady,  83,  233.33, Salomon | , 19, AUS, Regular, , St Kilda, , , , , , , , 
Yuuri Yoshika,  84,  233.15, , 24, JPN, Regular, , Ichinomiya-Shi, , , , , , , , 
Live Kampesaether,  85,  232.53, , , NOR, , , , , , , , , , , 
Rori Avelar,  86,  232.25, , , USA, , , , , , , , , , , 
Carla Somaini,  87,  232.05, FLUX BINDINGS | Level | Sims | Smith | , 29, SUI, Goofy, 166 cm, Zürich, Laax, , , , , , , 
Laura Hahnl,  88,  230.24, , , GER, , , , , , , , , , , 
Maria Mylius,  89,  228.76, , , NOR, , , , , , , , , , , 
Eva Hanicova,  90,  225.99, , , SVK, , , , , , , , , , , 
Brooke D’Hondt,  91,  217.68, , 15, CAN, , , , , , , , , , , 
Novalie Engholm,  92,  214.25, , , SWE, , , , , , , , , , , 
Manola Plur De La Rosa,  93,  211.15, , 14, GER, , , , , , , , , , , 
Kokona Sakakibara,  94,  210.64, , , JPN, , , , , , , , , , , 
Makayla Kellogg,  95,  208.24, , 18, USA, , , South Lake Tahoe, , , , , , , , 
Enni Saarela,  96,  204.93, , , FIN, , , , , , , , , , , 
Sweeney Marguerite,  97,  202.04, , , CAN, , , , , , , , , , , 
Ayano Nakagawa,  98,  199.87, , , JPN, , , , , , , , , , , 
Spencer O’Brien,  99,  198.14, Clast | Dragon | Nike | Nixon | Rockstar | , 32, CAN, Regular, 5ft.7in., Vancouver, WHISTLER| BC, www.spencerobrien.com, https://www.facebook.com/Spencer-OBrien-219537448056496/, www.twitter.com/@spencerobrien, , , , 
Veda Hallen,  100,  197.38, , , USA, , , , , , , , , , , 
Ziyan Ren,  101,  197.23, , , CHN, , , , , , , , , , , 
Mari Fukada,  102,  195.3, , , JPN, , , , , , , , , , , 
Kianah Hyatt,  103,  195.05, , 18, CAN, , , , , , , , , , , 
Barrett Hendrix,  104,  194.53, , , USA, , , , , , , , , , , 
Junyan Guo,  105,  194.11, , , CHN, , , , , , , , , , , 
Noemie Equy,  106,  192.98, , , FRA, , , , , , , , , , , 
Williams Darcy-Jane,  107,  192.13, , , GBR, , , , , , , , , , , 
Lola Cowan,  108,  191.29, , , USA, , , , , , , , , , , 
Anna Tomanova,  109,  190.93, , , CZE, , , , , , , , , , , 
Ella Suitiala,  110,  188.85,  | , 31, FIN, Regular, , Rovaniemi, , , , , , , , 
Philippa Steeg,  111,  187.25, , , GER, , , , , , , , , , , 
Remi Yoshida,  112,  187.01, , , JPN, , , , , , , , , , , 
Shania Colsters,  113,  186.69, , , NED, , , , , , , , , , , 
Luca Mai Lane Hopkins,  114,  185.99, CARDIFF SKI & SNOWBOARD CENTER | , 17, GBR, Regular, , , , , , , , , , 
Marilu Poluzzi,  115,  184.41, , , ITA, , , , , , , , , , , 
Shirly Kolodziej,  116,  182.85, , , SUI, , , , , , , , , , , 
Ida Roisonen,  117,  182.75, , , FIN, , , , , , , , , , , 
Antonia Yanez,  118,  179.81, , 21, CHI, , , , , , , , , , , 
Sini Lehtinen,  119,  179.33, , 20, FIN, , , , , , , , , , , 
Viktorie Zvadova,  120,  178.28, , , CZE, , , , , , , , , , , 
Romy Van Vreden,  121,  173.89, , , NED, , , , , , , , , , , 
Camilla Espeli Olsen,  122,  172.12, , , NOR, , , , , , , , , , , 
Napess Luna,  123,  169.35, , , CAN, , , , , , , , , , , 
Elizaveta Bogdanova,  124,  169.24, , , RUS, , , , , , , , , , , 
Urska Pribosic,  125,  167.8, Amplifi | Flow | , 30, SLO, Regular, , Bled, Vogel, https://www.instagram.com/urskapribosic/, , , , , , 
Nika Kashevnik,  126,  166.85, , , RUS, , , , , , , , , , , 
Lauren Derminio,  127,  166.37, , , USA, , , , , , , , , , , 
Terra Traub,  128,  166.28, , , USA, , , , , , , , , , , 
Stanislav Sokolov,  129,  161.89, , , RUS, , , , , , , , , , , 
Kiara Morii,  130,  161.07, , , JPN, , , , , , , , , , , 
Hahna Norman,  131,  161.06, , , USA, , , , , , , , , , , 
Karolina Stroh,  132,  159.45, , , GER, , , , , , , , , , , 
Maija Luurila,  133,  159.11, , , FIN, , , , , , , , , , , 
Kokomi Sano,  134,  157.84, , , JPN, , , , , , , , , , , 
Kristina Holzfeind,  135,  157.02, , , AUT, , , , , , , , , , , 
Ellie Duchow,  136,  154.32, , , USA, , , , , , , , , , , 
Dongyu Li,  137,  152.95, , , CHN, , , , , , , , , , , 
Luan Salgueira,  138,  152.14, , 19, FRA, , , , , , , , , , , 
Océane Fillion,  139,  151.99, , 22, CAN, , , , , , , , , , , 
Rebecca Flynn,  140,  149.83, , , USA, , , , , , , , , , , 
Andrina Salis,  141,  149.63, , , SUI, , , , , , , , , , , 
Milja Jaakkola,  142,  149.38, , , FIN, , , , , , , , , , , 
Jenny Kvamme,  143,  149.07, , , NOR, , , , , , , , , , , 
Elena Kostenko,  144,  146.73, Spy | VR Boardwear | , 25, RUS, Goofy, , Sankt-Peterburg, , , , , , , , 
Momo Suzuki,  145,  146.55, , , JPN, , , , , , , , , , , 
Anastasia Loginova,  146,  144.62, , , RUS, , , , , , , , , , , 
Kiara Zung,  147,  144.07, , , AUT, , , , , , , , , , , 
Ryou Kimura,  148,  142.75, , , JPN, , , , , , , , , , , 
Kristyna Leony Kulik,  149,  140.8, , , CZE, , , , , , , , , , , 
Suzuha Maeda,  150,  140.72, , , JPN, , , , , , , , , , , 
Telma Saerkipaju,  151,  140.49, , , FIN, , , , , , , , , , , 
Eve Dowley,  152,  138.45, , , AUS, , , , , , , , , , , 
Bailey Birkkjaer,  153,  137.84, , 23, CAN, , , , , , , , , , , 
Lea Jugovac,  154,  135.26, , 25, CRO, Regular, , , , , , , , , , 
Gale Madison,  155,  134.42, , 18, CAN, Regular, , , , , , , , , , 
Katarina Tmusic,  156,  133.33, , , SRB, , , , , , , , , , , 
Sara Zvadova,  157,  130.63, , , CZE, , , , , , , , , , , 
Rino Araya,  158,  128.48, , , JPN, , , , , , , , , , , 
Yue Zhai,  159,  127.53, , , CHN, , , , , , , , , , , 
Yuuna Komuro,  160,  125.95, , 19, JPN, , , , , , , , , , , 
Ada Harinen,  161,  125.47, , , FIN, , , , , , , , , , , 
Ava Cook,  162,  125.18, , , CAN, , , , , , , , , , , 
Jelena Ignjatov,  163,  124.7, , 25, SRB, , , , , , , , , , , 
Mia Grempel,  164,  122.66, , , GER, , , , , , , , , , , 
Mao Aizawa,  165,  121.61, , , JPN, , , , , , , , , , , 
Alina Cospolich,  166,  121.5, Bern Unlimited | , 14, USA, , , , , , , , , , , 
Emilie Evensen,  167,  121.08, Bataleon | Rip Curl | , 33, NOR, Regular, , Oslo, Varingskollen| Norway, www.ripcurl.com, , , , , , 
Lucia Plur De La Rosa,  168,  120.94, , 15, GER, , , , , , , , , , , 
Tong Zhang,  169,  120.89, , , CHN, , , , , , , , , , , 
Tina Hjalland,  170,  119.26, , , NOR, , , , , , , , , , , 
Molly Phillips,  171,  116.7, , , FRA, , , , , , , , , , , 
Emma Bakke,  172,  115.79, , , NOR, , , , , , , , , , , 
Emeraude Maheux,  173,  115.16, , , CAN, , , , , , , , , , , 
Ariane Burri,  174,  114.63,  | , 20, SUI, Goofy, , Eschenbach Lu, , , , , , , , 
Jenna Walker,  175,  113.76, , , CAN, , , , , , , , , , , 
Thea Christine Rue,  176,  112.96, , , NOR, , , , , , , , , , , 
Alexandra Chen,  177,  111.5, , , AUS, , , , , , , , , , , 
Isabelle Lötscher,  178,  108.51, , , SUI, , , , , , , , , , , 
Anna Lora,  179,  105.75, , 26, AUT, Regular, , , , , , , , , , 
Andrea Kristiansen Rue,  180,  105.52, , , NOR, , , , , , , , , , , 
Bella Mauro,  181,  105.03, , , USA, , , , , , , , , , , 
Imari Kato,  182,  104.26, , , JPN, , , , , , , , , , , 
Nicole Nastic,  183,  102.33, , , CRO, , , , , , , , , , , 
Paulina Zaradna,  184,  101.67, , , POL, , , , , , , , , , , 
Martyna MacIejewska,  185,  100.92, , , POL, , , , , , , , , , , 
Hege Johansen,  186,  100.77, , , NOR, , , , , , , , , , , 
Asja Klacar,  187,  100, , , BIH, , , , , , , , , , , 
Nora Cornell,  187,  100, , , ESP, , , , , , , , , , , 
Felicity Geremia,  189,  99.6, , , CAN, , , , , , , , , , , 
Olivia Benneker,  190,  97.27, , , SUI, , , , , , , , , , , 
Sascha Elvy,  191,  96.65, , , AUS, , , , , , , , , , , 
Niina Sakakibara,  192,  95.85, , , JPN, , , , , , , , , , , 
Angelina McCaffrey,  193,  93.83, , , CAN, , , , , , , , , , , 
Matilde Pizzutto,  194,  91.54, , , ITA, , , , , , , , , , , 
Morena Poggi Silveira,  195,  90.97, , , ARG, , , , , , , , , , , 
Rongrong Li,  196,  89.94, , , CHN, , , , , , , , , , , 
Giorgia Locatin,  197,  87.96, , , ITA, , , , , , , , , , , 
Janina Walz,  198,  87.62, , 12, GER, , , , , , , , , , , 
Anine Leenderts,  199,  87.59, , 18, NOR, , , , , , , , , , , 
Yuna Scheidegger,  200,  87.45, , , SUI, , , , , , , , , , , 
Maria Azul Chavez Martinez,  201,  86.96, , , ARG, , , , , , , , , , , 
Paulina Mueller,  202,  86.42, , , GER, , , , , , , , , , , 
Futaba Takizawa,  203,  85.97, , , JPN, , , , , , , , , , , 
Cerys Allen,  204,  85.7, Never Summer | Pow Gloves | Westbeach | , 20, GBR, Goofy, 4ft.6, Buckingham, The Snow centre Hemel, www.cerysallen.co.uk, cerysallen, , , , , 
Rongxi Jin,  205,  84.98, , , CHN, , , , , , , , , , , 
Anna Kamilla Hlynsdottir,  206,  84.33, , , ISL, , , , , , , , , , , 
Rose Desjardins,  207,  82.56, , , CAN, , , , , , , , , , , 
Emma Gennero,  208,  82.04, , , ITA, , , , , , , , , , , 
Hanon Tsuchiya,  209,  81.94, , , JPN, , , , , , , , , , , 
Kaiya Collins,  210,  81.6, , , NZL, , , , , , , , , , , 
Ronja Haensel,  211,  81.28, , , AUT, , , , , , , , , , , 
 CorneliaOsther, 212, 80.71, , 
, NOR, , , , , , , , , , , 
Heta Heinonen,  213,  80.66, , , FIN, , , , , , , , , , , 
Sky Remans,  214,  80.23, , , BEL, , , , , , , , , , , 
Jasmin Kaikuranta,  215,  79.21, , , FIN, , , , , , , , , , , 
Aroa Da Silva,  216,  78.89, , , ESP, , , , , , , , , , , 
Maisie Hill,  217,  78.58, , 19, GBR, , , , , , , , , , , 
Olga Martinelli,  218,  77.98, , , ITA, , , , , , , , , , , 
Elena Schipani,  219,  77.74, , , USA, , , , , , , , , , , 
Dana Peck,  220,  77.52, , , USA, , , , , , , , , , , 
Bergdis Steinthorsdottir,  221,  77.03, , , ISL, , , , , , , , , , , 
Tereza Sebkova,  222,  76.03, , , CZE, , , , , , , , , , , 
Leonie Hasler,  223,  75.9, , , SUI, , , , , , , , , , , 
Ilvy Paul,  224,  75.87, , , AUT, , , , , , , , , , , 
Saya Maekawa,  225,  75.66, , , JPN, , , , , , , , , , , 
Anna Chymcakova,  226,  75.26, , , CZE, , , , , , , , , , , 
Riley Boland,  227,  74.97, , , CAN, , , , , , , , , , , 
Andrea Seijas Fidalgo,  228,  73.98, , , ESP, , , , , , , , , , , 
Nora Healey,  229,  73.73, POC | , 22, USA, Regular, 5ft.8in., Plymouth, Waterville Valley, , , , , , , 
Summer Coumont,  230,  73.61, , , CAN, , , , , , , , , , , 
Henna Ikola,  231,  73.03, Burton Snowboards | , 22, FIN, Goofy, 150cm, Hyvinkää, Sveitsin hiihtokeskus| Hyvinkää| Finland, , , , , , , 
Viviana Oram,  232,  73.01, , , USA, , , , , , , , , , , 
Kirari Utsumi,  233,  72.85, , , JPN, , , , , , , , , , , 
Marija Petkovska,  234,  71.71, , , MKD, , , , , , , , , , , 
Emily Wright,  235,  70.08, , , CAN, , , , , , , , , , , 
Ronja Paul,  236,  69.89, , , AUT, , , , , , , , , , , 
Hinoka Kato,  237,  69.89, , , JPN, , , , , , , , , , , 
Karoline Herleiksplass,  238,  69.51, , 22, NOR, , , , , , , , , , , 
Tinkara Tanja Valcl,  239,  68.82, , , SLO, , , , , , , , , , , 
Chu Tan,  240,  68.6, , , CHN, , , , , , , , , , , 
Eira Dahle Stavanes,  241,  68.31, , , NOR, , , , , , , , , , , 
Eliska Merickova,  242,  68.04, , , CZE, , , , , , , , , , , 
Ashyln Overland,  243,  67, , , USA, , , , , , , , , , , 
Yura Murase,  244,  66.67, , , JPN, , , , , , , , , , , 
Zizheng Ren,  245,  66.32, , , CHN, , , , , , , , , , , 
Darina Murawskaia,  246,  65.74, , , BLR, , , , , , , , , , , 
Nami Watanabe,  247,  64.82, , , JPN, , , , , , , , , , , 
Maria Kokushkina,  248,  64.43, , , RUS, , , , , , , , , , , 
Unnur Solveig Hlynsdottir,  249,  63.83, , , ISL, , , , , , , , , , , 
Celia Petrig,  250,  63.36,  | , 25, SUI, Goofy, , Trachslau, , , , , , , , 
Sam Van Lieshout,  251,  63.03, , , NED, , , , , , , , , , , 
Jacquelina De Jong,  252,  62.49,  | , 14, NED, Goofy, 152, Innsbruck, Seegrube, , jackydejo, , , , , 
Caroline Amalie Roegenaes,  253,  62.33, , , NOR, , , , , , , , , , , 
Krystina Moffat,  254,  61.84, , , CAN, , , , , , , , , , , 
