riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Kureha Ito,  255,  61.38, , , JPN, , , , , , , , , , , 
Sophia Bruck,  256,  61.14, , , USA, , , , , , , , , , , 
Ava Starblanket,  257,  60.23, , , CAN, , , , , , , , , , , 
Demi Van Griensven,  258,  60.16, , , NED, , , , , , , , , , , 
Kailey Bogart,  259,  59.94, , , USA, , , , , , , , , , , 
Ronja Oswald,  260,  59.54, , , SUI, , , , , , , , , , , 
Maki Kunitake,  261,  58.94, , , JPN, , , , , , , , , , , 
Eleni Arvanitidou,  262,  58.77, , , GRE, , , , , , , , , , , 
Olivie Pouch,  263,  58.39, , , CZE, , , , , , , , , , , 
Maria Teresa Banados Palma,  264,  58.35, , , CHI, , , , , , , , , , , 
Avery Spalding,  265,  58.08, , , CAN, , , , , , , , , , , 
Jenny Gregori,  266,  57.13, Salomon | , 23, ITA, Goofy, , , , , , , , , , 
Adna Klacar,  266,  57.13, , , BIH, , , , , , , , , , , 
Kaeleigh Cook,  268,  56.86, , , CAN, , , , , , , , , , , 
Emma Olejniczak,  269,  56.82, , , FRA, , , , , , , , , , , 
Isabella Gerry,  270,  56.78, , , USA, , , , , , , , , , , 
Rion Okado,  271,  55.49, , , JPN, , , , , , , , , , , 
Lissel Raun,  272,  55.38, , , EST, , , , , , , , , , , 
Selenata Sanchez,  273,  55.31, , , ESP, , , , , , , , , , , 
Lily Jekel,  274,  54.49, , 17, AUS, , , , , , , , , , , 
Khaila Kuoppala,  275,  54.23, , , FIN, , , , , , , , , , , 
Karen Saijo,  276,  54.15, , , JPN, , , , , , , , , , , 
Reetta Puustinen,  277,  53.76, , , FIN, , , , , , , , , , , 
Kanna Kono,  278,  52.79, , , JPN, , , , , , , , , , , 
Anna Forno,  279,  52.32, , , ITA, , , , , , , , , , , 
Tokuko Suzuki,  280,  51.99, , , JPN, , , , , , , , , , , 
Uma Pecanin,  281,  51.99, , , BIH, , , , , , , , , , , 
Anastasiya Gorshenina,  282,  51.89, , , RUS, , , , , , , , , , , 
Julia Meier,  283,  51.37, , , SUI, , , , , , , , , , , 
Camila Springinsfeld,  284,  50.63, , , ARG, , , , , , , , , , , 
Lua Marie Klemm,  285,  49.79, , , GER, , , , , , , , , , , 
Natalie Good,  286,  49.78, , 30, NZL, Regular, , , , , , , , , , 
Ine Marie Misund,  287,  49.67, , , NOR, , , , , , , , , , , 
Rein Wada,  288,  49.03, , , JPN, , , , , , , , , , , 
Thomassen Ziggy,  289,  48.75, , , NED, , , , , , , , , , , 
Aliya Hekne Herskedal,  290,  48.59, , , NOR, , , , , , , , , , , 
Madeleine Meersteiner,  291,  48.4, , , GER, , , , , , , , , , , 
Anina Heimoz,  292,  47.88, , , SUI, , , , , , , , , , , 
Neda Dobreska,  293,  47.8, , , MKD, , , , , , , , , , , 
Joana Fuchs,  294,  47.77, , , GER, , , , , , , , , , , 
Sophia Karrer,  295,  46.97, , , AUT, , , , , , , , , , , 
Maria Smirnova,  296,  46.69, , , RUS, , , , , , , , , , , 
Yulia Proydina,  296,  46.69, , , RUS, , , , , , , , , , , 
Daniek Griensven,  298,  46.39, , , NED, , , , , , , , , , , 
Mette Kvaale,  299,  45.76, , , NOR, , , , , , , , , , , 
Yukino Hara,  300,  45.71, , , JPN, , , , , , , , , , , 
Angelina Milutinovich,  301,  45.48, , , SRB, , , , , , , , , , , 
Amanda Cardone,  302,  45.04, , , CHI, , , , , , , , , , , 
Elena Grangila,  303,  44.73, , , ITA, , , , , , , , , , , 
Riria Okado,  304,  44.53, , , JPN, , , , , , , , , , , 
Ella Gorcsosova,  305,  44.52, , , SVK, , , , , , , , , , , 
Jule Schindler,  306,  43.77, , , GER, , , , , , , , , , , 
Hanna Nakamori,  307,  43.56, , , JPN, , , , , , , , , , , 
Nadja Nerandzic,  308,  42.83, , , SRB, , , , , , , , , , , 
Denisa Noskova,  309,  42.45, , , CZE, , , , , , , , , , , 
Josefa Arellano,  310,  42.43, , , CHI, , , , , , , , , , , 
Momoka Mikuni,  311,  42.22, , , JPN, , , , , , , , , , , 
Penelope Scott,  312,  41.91, , , USA, , , , , , , , , , , 
Anna-Selina Reinalter,  313,  41.76, , , SUI, , , , , , , , , , , 
Beth Wilson,  314,  41.53, , 19, CAN, , , , , , , , , , , 
Laura Marzinotto,  315,  41.35, , , CAN, , , , , , , , , , , 
Melina Merkhoffer,  316,  40.84,  | , 26, GER, Regular, , Taunusstein, , , , , , , , 
Stella Larkiala,  317,  40.4, , , FIN, , , , , , , , , , , 
Yuuna Tanaka,  318,  40, , , JPN, , , , , , , , , , , 
Hanna Karrer,  319,  39.39, , , AUT, , , , , , , , , , , 
Peighton Coffey,  320,  39.32, , , USA, , , , , , , , , , , 
Lura Wick,  321,  39.06, , , SUI, , , , , , , , , , , 
Gabby Olsen,  322,  38.92, , , CAN, , , , , , , , , , , 
Django Ewoldt,  323,  38.75, , , USA, , , , , , , , , , , 
Helene Hipp,  324,  38.27, , , GER, , , , , , , , , , , 
Tianina Antyasova,  325,  37.97, , , RUS, , , , , , , , , , , 
Dariya Belikova,  326,  37.75, , , RUS, , , , , , , , , , , 
Margie Black,  327,  37.75, , , USA, , , , , , , , , , , 
Zoë Willemsen,  327,  37.75, , , NED, , , , , , , , , , , 
Mya Ghostkeeper,  329,  36.81, , , CAN, , , , , , , , , , , 
Soha Janett,  330,  36.54, , , SUI, , , , , , , , , , , 
Aixa Naudi,  331,  36.54, , , AND, , , , , , , , , , , 
Pia Johnsen,  332,  36.29, , , NOR, , , , , , , , , , , 
Johanna Bachmann,  333,  35.98, , , GER, , , , , , , , , , , 
Maelis Charlec,  334,  35.8, , , FRA, , , , , , , , , , , 
Varvara Krasneva,  335,  35.56, , 23, CAN, , , , , , , , , , , 
Charley Solomon,  336,  35.51, , , CAN, , , , , , , , , , , 
Andjela Djogic,  337,  35.46, , , SRB, , , , , , , , , , , 
Anna-Sofia Kokko,  338,  34.83, , , FIN, , , , , , , , , , , 
Hikaru Ogawa,  339,  34.76, , , JPN, , , , , , , , , , , 
Nerea Fernandez,  340,  34.52, , , AND, , , , , , , , , , , 
Anouk Bietenholz,  341,  34.19, , , SUI, , , , , , , , , , , 
Emilie Johnsen,  342,  34.12, , , NOR, , , , , , , , , , , 
Chloe Yanow,  343,  33.65, , , CAN, , , , , , , , , , , 
Maaru Makela,  344,  33.61, , , FIN, , , , , , , , , , , 
Goda Simanaviciute,  345,  33.33, , , LTU, , , , , , , , , , , 
Rochelle Weinberg,  345,  33.33, , , USA, , , , , , , , , , , 
Samatha Shute,  345,  33.33, , , CAN, , , , , , , , , , , 
Emma Peetz,  348,  33.13, , , GER, , , , , , , , , , , 
Zhixin Huang,  349,  32.73, , , CHN, , , , , , , , , , , 
MacKenzie Hanson,  350,  32.71, , , CAN, , , , , , , , , , , 
Sonora Alba,  351,  32.23, , , USA, , , , , , , , , , , 
Tina Schrott,  352,  32.05, , , GER, , , , , , , , , , , 
Lilja Ros Steinsdottir,  353,  32.03, , , ISL, , , , , , , , , , , 
Tosca Corti,  354,  31.97, , , SUI, , , , , , , , , , , 
Emilie Klaussen,  355,  31.95, , , NOR, , , , , , , , , , , 
Julia Lundberg,  356,  31.73, Burton Snowboards | Smith | , , SWE, Goofy, 169 cm, , , , , , , , , 
Dakoda Eising,  357,  31.57, , , CAN, , , , , , , , , , , 
Karin Hisaoka,  358,  31.47, , , JPN, , , , , , , , , , , 
Jana Jovanovic,  359,  31.37, , , SRB, , , , , , , , , , , 
Vildis Edwinsdottir,  360,  30.78, , , ISL, , , , , , , , , , , 
Ingvild Nymoen,  361,  30.48, , , NOR, , , , , , , , , , , 
Nanami Honda,  362,  30.33, , , JPN, , , , , , , , , , , 
Saara Handa,  363,  29.93, , , JPN, , , , , , , , , , , 
Merlin Wyss,  364,  29.86, , , SUI, , , , , , , , , , , 
Gaia Vachet,  365,  29.82, , , ITA, , , , , , , , , , , 
Lily Dhawornvej,  366,  29.66, , , USA, , , , , , , , , , , 
Lela Rix,  367,  29.52, , , USA, , , , , , , , , , , 
Elizaveta Irhina,  368,  29.15, , , RUS, , , , , , , , , , , 
Elisa Kroell,  369,  28.89, , , AUT, , , , , , , , , , , 
Eevastiina Hyry,  370,  28.79, , , FIN, , , , , , , , , , , 
Leila Viererbe,  371,  28.3, , , GER, , , , , , , , , , , 
Patricija Ivanovaite,  372,  28.14, , , LTU, , , , , , , , , , , 
Andi Osmond,  372,  28.14, , , CAN, , , , , , , , , , , 
Kaede Tanaka,  374,  28.07, , , JPN, , , , , , , , , , , 
Anna Lena Dürr,  375,  27.85, , , SUI, , , , , , , , , , , 
Kinsley White,  376,  27.62, , , USA, , , , , , , , , , , 
Camille Poulat,  377,  26.88, , , FRA, , , , , , , , , , , 
Sol Snorradottir,  378,  26.86, , , ISL, , , , , , , , , , , 
Rosalie Bauer,  379,  26.67, , , GER, , , , , , , , , , , 
Clara Moreau,  380,  26.53, , , FRA, , , , , , , , , , , 
Elle Valkenborgh,  381,  26.43, , , BEL, , , , , , , , , , , 
Page Gordon,  382,  25.99, , , CAN, , , , , , , , , , , 
Lisa Demke,  383,  25.93, , , SUI, , , , , , , , , , , 
Hiroka Kitano,  384,  25.43, , , JPN, , , , , , , , , , , 
Tanja Wolf,  385,  25.09, , , AUT, , , , , , , , , , , 
Iina Saarela,  386,  24.65, , , FIN, , , , , , , , , , , 
Mak Yen-Linn,  387,  24.47, , , AUT, , , , , , , , , , , 
Risa Nakasima,  388,  24.38, Deeluxe | Union Bindings | , 2, JPN, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , , , , 
Eva Firnesz,  389,  24.08, , , CAN, , , , , , , , , , , 
Lynne Graf,  390,  24.07, , , SUI, , , , , , , , , , , 
Caitlyn Langer,  391,  24.01, , , USA, , , , , , , , , , , 
Zoe MacGeorge,  392,  23.96, , , SUI, , , , , , , , , , , 
Nora Synnove Topp Oye,  393,  23.93, , , NOR, , , , , , , , , , , 
Neda Milenkovic,  394,  23.73, , , SRB, , , , , , , , , , , 
Gabriella Holden,  395,  23.6, , , USA, , , , , , , , , , , 
Ashley Bogart,  396,  23.43, , , USA, , , , , , , , , , , 
Amy McCarthy,  397,  23.34, , , CAN, , , , , , , , , , , 
Tina Kalinovska,  397,  23.34, , , LAT, , , , , , , , , , , 
Stella Picchedda,  399,  22.88, , , FRA, , , , , , , , , , , 
Mila Nyvelt,  400,  22.58, , , AUT, , , , , , , , , , , 
Samira Sprenger,  401,  22.27, , , SUI, , , , , , , , , , , 
Katie Gabriele,  402,  22.04, , , USA, , , , , , , , , , , 
Saaya Maeda,  403,  21.85, , , JPN, , , , , , , , , , , 
Emma Brearly,  403,  21.85, , , CAN, , , , , , , , , , , 
Diana Fedchenko,  405,  21.49, , , RUS, , , , , , , , , , , 
Yuki Kato,  406,  21.23, , , JPN, , , , , , , , , , , 
Frida Vollelv,  407,  21.01, , , NOR, , , , , , , , , , , 
Stepanka Hankova,  407,  21.01, , , CZE, , , , , , , , , , , 
Aj – Alexandra Nordeen,  407,  21.01, , , USA, , , , , , , , , , , 
Janni Joenvaara,  410,  20.83, , , FIN, , , , , , , , , , , 
Binia Lia Meyer,  411,  20.52, , , SUI, , , , , , , , , , , 
Riri Okada,  412,  20.51, , , JPN, , , , , , , , , , , 
Yui Arakawa,  413,  20.38, , , JPN, , , , , , , , , , , 
Mia Peyachew,  414,  19.98, , , CAN, , , , , , , , , , , 
Britt Ootjers,  415,  19.95, , , NED, , , , , , , , , , , 
Amelia Bowater,  416,  19.28, , , USA, , , , , , , , , , , 
Marine Bourdais,  417,  19.13, , , FRA, , , , , , , , , , , 
Mathilde Klim,  418,  19.04, , , DEN, , , , , , , , , , , 
Jayden Hrychuck,  418,  19.04, , , CAN, , , , , , , , , , , 
Mary Chisholm,  420,  18.88, , , CAN, , , , , , , , , , , 
Ida Lukaschek,  421,  18.81, , , GER, , , , , , , , , , , 
Elia Pascuet,  422,  18.72, , , AND, , , , , , , , , , , 
Alaia Uzicanin,  423,  18.53, , , BIH, , , , , , , , , , , 
Tea Becirevic,  423,  18.53, , , BIH, , , , , , , , , , , 
Aurora Bertetic,  423,  18.53, , , CRO, , , , , , , , , , , 
Katharina Kasper,  423,  18.53, , , GER, , , , , , , , , , , 
Lucia Georgalli,  427,  18.29, , , NZL, , , , , , , , , , , 
Vita Markelji,  428,  18.19, , , AUT, , , , , , , , , , , 
Olivia Gill,  429,  18, , , USA, , , , , , , , , , , 
Malena Oram,  430,  17.35, , , USA, , , , , , , , , , , 
Renee Aalto,  431,  17.3, , , FIN, , , , , , , , , , , 
Monika Ros Martin,  431,  17.3, , , ISL, , , , , , , , , , , 
Manae Kato,  433,  17.27, , , JPN, , , , , , , , , , , 
Emmi Parkkisenniemi,  434,  17.17, Burton Snowboards | , 21, FIN, , , , , , , , , , , 
Niah Johanna Imper,  435,  17.14, , , SUI, , , , , , , , , , , 
Nina Loibl,  436,  16.89, , , GER, , , , , , , , , , , 
Lana Trtnik,  437,  16.59, , , SLO, , , , , , , , , , , 
Amalia Pelchat,  438,  16.58, , , CAN, , , , , , , , , , , 
Noa Cedillo,  439,  16.57, , , ESP, , , , , , , , , , , 
Sofia Storgard,  440,  16.16, , , CAN, , , , , , , , , , , 
Pippa Scott,  441,  16.11, , , USA, , , , , , , , , , , 
Cailin Doty,  442,  16.03, , , USA, , , , , , , , , , , 
Marta Vojvodic,  443,  15.97, , , SRB, , , , , , , , , , , 
Mailys Leyval,  444,  15.58, , , FRA, , , , , , , , , , , 
Kiana Klebeck,  445,  15.5, , , AUT, , , , , , , , , , , 
Issa Fasola Demingue,  446,  15.48, , , ARG, , , , , , , , , , , 
Margaux Pollock,  447,  15.38, , , USA, , , , , , , , , , , 
Ayuko Nishioka,  448,  15.15, , , JPN, , , , , , , , , , , 
Joaquina Palomeque Serrao,  449,  15.12, , , ARG, , , , , , , , , , , 
Andrea Vötsch,  449,  15.12, , , AUT, , , , , , , , , , , 
Valentina Boyano,  451,  14.99, , , ARG, , , , , , , , , , , 
Kylie MacDonald,  452,  14.69, , , CAN, , , , , , , , , , , 
Adalheidur Dis Stefansdottir,  452,  14.69, , , ISL, , , , , , , , , , , 
Guoda Malinauskaite,  452,  14.69, , , LTU, , , , , , , , , , , 
Elisenda Gallardo,  455,  14.59, , , AND, , , , , , , , , , , 
Jessie Vanaernam,  456,  14.06, , , USA, , , , , , , , , , , 
Alis Helga Dadadottir,  457,  14, , , ISL, , , , , , , , , , , 
Ronja Welling,  457,  14, , , FIN, , , , , , , , , , , 
Antoaneta Dzon,  459,  14, , , MKD, , , , , , , , , , , 
Ladina Ranzoni,  460,  13.88, , , SUI, , , , , , , , , , , 
Kamila Magrufova,  461,  13.72, , , RUS, , , , , , , , , , , 
Margaret Grace Bowler,  462,  13.51, , , USA, , , , , , , , , , , 
Misaki Nagosi,  462,  13.51, , , JPN, , , , , , , , , , , 
Hedda Rotegaard,  464,  13.48, , , NOR, , , , , , , , , , , 
Laia Gomariz,  465,  12.76, , , ESP, , , , , , , , , , , 
Eryn Firnesz,  466,  12.58, , , CAN, , , , , , , , , , , 
Maya Veitch,  467,  12.43, , , CAN, , , , , , , , , , , 
Magdalena Boesl,  468,  12.39, , , GER, , , , , , , , , , , 
Marisol Bontognali,  469,  12.29, , , SUI, , , , , , , , , , , 
Clara Scotti,  470,  12.25, , , ARG, , , , , , , , , , , 
Sabrina Perko,  470,  12.25, , , AUT, , , , , , , , , , , 
Victoria Castillo,  472,  12.21, , , FRA, , , , , , , , , , , 
Zahra-Kadi Kegode,  473,  12.15, , , USA, , , , , , , , , , , 
Sofia Salinas Sanchis,  474,  11.91, , , AND, , , , , , , , , , , 
Lynn Deputter,  475,  11.8, , , BEL, , , , , , , , , , , 
Riko Ozahata,  476,  11.73, , , JPN, , , , , , , , , , , 
Mia Delago,  477,  11.25, , , GER, , , , , , , , , , , 
Lea Oefner,  478,  11.24, , , AUT, , , , , , , , , , , 
Hiyori Sasaki,  478,  11.24, , , JPN, , , , , , , , , , , 
Azahara Diaz,  480,  11.04, , , ESP, , , , , , , , , , , 
Neea Jarvela,  481,  10.91, , , FIN, , , , , , , , , , , 
Julietta Idunn Tomasdottir,  481,  10.91, , , ISL, , , , , , , , , , , 
Rachel Secord,  483,  10.76, , , CAN, , , , , , , , , , , 
Lif Helgadottir,  484,  10.75, , , ISL, , , , , , , , , , , 
Ella Bugden,  484,  10.75, , , CAN, , , , , , , , , , , 
Lola Abou,  484,  10.75, , 22, FRA, Goofy, , , , , , , , , , 
Dalma Harko,  487,  10.71, , , HUN, , , , , , , , , , , 
Annika Isaacs,  488,  10.36, , , USA, , , , , , , , , , , 
Julie Pedersen Rektorli,  489,  10.29, , , NOR, , , , , , , , , , , 
Stepanka Caslavska,  489,  10.29, , , CZE, , , , , , , , , , , 
Elle Choi,  491,  10.02, , , CAN, , , , , , , , , , , 
Sophia Smigel,  492,  9.93, , , CAN, , , , , , , , , , , 
Emma Vötsch,  493,  9.55, , , AUT, , , , , , , , , , , 
Maiatane Dominguez,  494,  9.43, , , AND, , , , , , , , , , , 
Megumi Yoshidomi,  495,  9.35, , , JPN, , , , , , , , , , , 
Emmica McCaffrey,  496,  9.21, , , CAN, , , , , , , , , , , 
Lénnie Camille Lounis,  497,  9.15, , , SUI, , , , , , , , , , , 
Mia Bosanac,  498,  9.14, , , CRO, , , , , , , , , , , 
Kay Hensley,  499,  9.09, , , USA, , , , , , , , , , , 
Louise Coulais,  500,  8.99, , , FRA, , , , , , , , , , , 
Anju Matsuoka,  501,  8.88, , , JPN, , , , , , , , , , , 
Alicia Van De Vlekkert,  502,  8.82, , , NED, , , , , , , , , , , 
Brecken McCafferty,  503,  8.67, , , USA, , , , , , , , , , , 
Katy Buckley,  504,  8.45, , , USA, , , , , , , , , , , 
Hikari Suzuki,  505,  8.34, , , JPN, , , , , , , , , , , 
Hazel Predpelski,  506,  8.19, , , USA, , , , , , , , , , , 
Maja Polke,  507,  8.09, , , GER, , , , , , , , , , , 
Saana Korhonen,  508,  7.99, , , FIN, , , , , , , , , , , 
Clea Jung,  509,  7.91, , , FRA, , , , , , , , , , , 
Enya Bechter,  510,  7.86, , , SUI, , , , , , , , , , , 
Lisa Fracesia Boirai,  510,  7.86, , , ITA, , , , , , , , , , , 
Deva Meyer,  510,  7.86, , , AUT, , , , , , , , , , , 
Lian Pei,  513,  7.66, , , CHN, , , , , , , , , , , 
Liliana Skinner,  514,  7.6, , , SUI, , , , , , , , , , , 
Wanda Van Domselaar,  515,  7.45, , , ARG, , , , , , , , , , , 
Emmy Delago,  516,  7.39, , , GER, , , , , , , , , , , 
Chloe Borders,  517,  7.08, , , USA, , , , , , , , , , , 
Haruka Katayama,  518,  7.02, , , JPN, , , , , , , , , , , 
Zeina Kettaneh,  519,  7, , , LIB, , , , , , , , , , , 
Sadie Osmond,  519,  7, , , CAN, , , , , , , , , , , 
Nina Rehscgützer,  521,  7, , , AUT, , , , , , , , , , , 
Emmi Kittilae,  522,  6.86, , , FIN, , , , , , , , , , , 
Chika Inoue,  523,  6.5, , , JPN, , , , , , , , , , , 
Elise Berger,  524,  6.1, , , CAN, , , , , , , , , , , 
Ella Golland,  525,  6.07, , , SUI, , , , , , , , , , , 
Erin Rogalski,  526,  6, , , CAN, , , , , , , , , , , 
Julia Aure,  527,  5.96, , , NOR, , , , , , , , , , , 
Suzanne Fontaine,  528,  5.89, , , FRA, , , , , , , , , , , 
Lianxin Sun,  529,  5.87, , , CHN, , , , , , , , , , , 
Wilma Vainionpaeae,  530,  5.8, , , FIN, , , , , , , , , , , 
Guro Teksle,  530,  5.8, , , NOR, , , , , , , , , , , 
Anja Pilloud,  532,  5.55, , , USA, , , , , , , , , , , 
Maja Krauerova,  533,  5.49, , , CZE, , , , , , , , , , , 
Celine Amalie Steen-Oehme,  534,  5.29, , , NOR, , , , , , , , , , , 
Pinja Raty,  535,  5.21, , , FIN, , , , , , , , , , , 
Valgerdur Olafsdottir,  535,  5.21, , , ISL, , , , , , , , , , , 
Lia Guerrero,  537,  5.08, , , AND, , , , , , , , , , , 
Ema Stankovikj,  538,  4.91, , , MKD, , , , , , , , , , , 
Kjersten Nelson,  538,  4.91, , , USA, , , , , , , , , , , 
Hanoka Uno,  540,  4.64, , , JPN, , , , , , , , , , , 
Lisa Kesselring,  541,  4.54, , , SUI, , , , , , , , , , , 
Nona Stephenson,  542,  4.09, , , USA, , , , , , , , , , , 
Charlotte Flowers,  543,  4.05, , , USA, , , , , , , , , , , 
Helena Hurter,  544,  3.97, , , GER, , , , , , , , , , , 
Gretchen Steiner,  545,  3.89, , , AUT, , , , , , , , , , , 
Romy Louerau,  546,  3.75, , , FRA, , , , , , , , , , , 
Toni Durand,  547,  3.65, , , GER, , , , , , , , , , , 
Name Boylan,  548,  3.43, , , CAN, , , , , , , , , , , 
Freydis Thormodsdottir,  548,  3.43, , , ISL, , , , , , , , , , , 
Huguette Fakhry,  548,  3.43, , , LIB, , , , , , , , , , , 
Peyton Rule,  551,  3.37, , , CAN, , , , , , , , , , , 
Alexandra Morton,  552,  3.2, , , USA, , , , , , , , , , , 
Lani Tara Sigg,  553,  3.02, , , SUI, , , , , , , , , , , 
Avlyn Smirl,  554,  2.94, , , CAN, , , , , , , , , , , 
Elsie Rogalski,  554,  2.94, , , CAN, , , , , , , , , , , 
Maya Legrand,  556,  2.9, , , FRA, , , , , , , , , , , 
Alana Polatty,  557,  2.69, , , USA, , , , , , , , , , , 
Kennedy Lamer,  558,  2.65, , , USA, , , , , , , , , , , 
Aada Hamalainen,  559,  2.55, , , FIN, , , , , , , , , , , 
Karen Lif Brynjarsdottir,  559,  2.55, , , ISL, , , , , , , , , , , 
Juana Stocchetti Najda,  559,  2.55, , , ARG, , , , , , , , , , , 
Ella Wallet,  562,  2.46, , , FRA, , , , , , , , , , , 
Yuna Yokoyama,  563,  2.25, , , JPN, , , , , , , , , , , 
Deva Mayer,  564,  2.24, , , AUT, , , , , , , , , , , 
Birna Ida Hlynsdottir,  565,  1.95, , , ISL, , , , , , , , , , , 
Akari Nomura,  566,  1.53, , , JPN, , , , , , , , , , , 
Nina Büchi,  567,  1.51, , , SUI, , , , , , , , , , , 
Romane Cajelot,  568,  1.22, , , FRA, , , , , , , , , , , 
